URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
www.myboat-oi.com/acheter/bateau%20moteur/ultra-mar-shaft-7m301311.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/techmarine-212507.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/tiki-261411.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-4701602.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-52s1103.html,No,No,No recent data
www.myboat-oi.com/en/,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/djerba-4702907.html,No,No,No recent data
www.myboat-oi.com/en/buy/monohull.html,No,No,No recent data
www.myboat-oi.com/acheter/acheter-bateau-seychelles.html,No,No,No recent data
www.myboat-oi.com/acheter/voile-legere.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/mahe-360202.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/open-990m1410.html,No,No,No recent data
www.myboat-oi.com/acheter/acheter-bateau-pacifique.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/sun-odyssey-39-i1911.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/athena-380803.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/drop-260601.html,No,No,No recent data
www.myboat-oi.com/acheter/catamaran%20moteur/leopard-53-20202409.html,No,No,No recent data
www.myboat-oi.com/acheter/catamaran%20moteur/leopard-532309.html,No,No,No recent data
www.myboat-oi.com/acheter/catamaran%20moteur/fontaine-pajot-cumberland-462109.html,No,No,No recent data
www.myboat-oi.com/acheter/catamaran%20moteur/toky-12m1812.html,No,No,No recent data
www.myboat-oi.com/acheter/catamaran%20moteur/tropical-boat-14m802804.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/jeanneau-cap-camarat-105-cc2605.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/dragonfly-280510.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-462409.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-3803001.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/astus-205-sport0602.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/trimaki1711.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20neuf/beneteau-flyer-7-8-9-neuf1107.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau-peche.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/first-2112006.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/dean-4401911.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-410-s21702.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/via-42-deriveur-alu2001.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/boutre-gasy1207.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/sun-odyssey-331301.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/looping-572304.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/type-argos2608.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/efo-oyster-343005.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/harmony-471202.html,No,No,No recent data
www.myboat-oi.com/en/boat-license.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/techmarine-10700911.html,No,No,No recent data
www.myboat-oi.com/en/buy/buy-boat-mayotte.html,No,No,No recent data
www.myboat-oi.com/en/sell-boat.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/sun-odyssey-349-limited-edition2602.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/sunbird-spl-1940610.html,No,No,No recent data
www.myboat-oi.com/en/buy/buy-boat-seychelles.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/ne-quid-nimis1809.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/trawler-cat0602.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/dean-4410611.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-472505.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/dean-3652410.html,No,No,No recent data
www.myboat-oi.com/plan-du-site.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/grisbi-360912.html,No,No,No recent data
www.myboat-oi.com/en/buy/buy-boat-reunion.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/edel-cat-35-sport1705.html,No,No,No recent data
www.myboat-oi.com/en/buy/new-boat.html,No,No,No recent data
www.myboat-oi.com/en/buy/fishing-boat.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/comarine3005.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/polycoque-caraibe0812.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/techmarine2211.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/goelette1808.html,No,No,No recent data
www.myboat-oi.com/acheter/catamaran%20moteur/power-cat-361410.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/tropic-360302.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/sessa-432409.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/goelette-14m0907.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/speed-770-od-moi0611.html,No,No,No recent data
www.myboat-oi.com/acheter/catamaran%20moteur/iris-372502.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/jeanneau2907.html,No,No,No recent data
